NASDAQ Salmon Index (salesprice) History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Price (NOK/kg),,,,,,,,,Distribution %,,,,,,,,,Total NASDAQ Volume,Average Price,Standard Deviation,,,,,,,,
Year,Week,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9+,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9+,,,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9+
2013,14,32.35,35.82,39.7,40.53,40.85,41.32,41.6,41.79,41.79,0.42,7.24,20.94,27.86,27.37,11.72,3.37,0.88,0.2,3831.66,40.21,1.07,0.77,0.57,0.53,0.5,0.33,0.39,0.36,0.12
2013,15,33.54,38.22,41.75,42.91,43.17,43.74,43.89,44.21,44.56,0.45,6.61,19.18,30.36,25.89,11.5,4.1,1.36,0.55,4926.71,42.56,1.27,0.35,0.45,0.34,0.67,0.7,0.51,0.43,0.75
2013,16,35.94,39.05,42.73,43.94,44.74,45.36,45.77,46.07,45.23,0.43,7.49,21.81,30.26,26.59,10.17,2.54,0.56,0.14,5069.71,43.69,1.27,0.45,0.58,0.69,0.45,0.69,0.64,0.74,0.59
2013,17,35.21,38.66,42.54,43.54,44.23,44.97,45.01,43.82,43.33,1.91,9.51,19.8,30.2,24.24,10.33,2.79,0.92,0.28,5299.64,43.08,1.43,0.44,0.37,0.29,0.48,0.6,0.3,1.03,2.05
2013,18,33.7,37.64,41.52,42.76,43.34,43.84,43.85,44.42,44.45,0.63,7.79,20.7,28.99,27.14,10.94,2.9,0.78,0.12,4649.51,42.37,1.35,0.47,0.37,0.34,0.34,0.72,0.91,0.49,0.25
2013,19,27.67,37.31,41.17,42.74,43.72,44.21,44.59,44.54,44.98,0.92,9.32,23.01,27.82,23.17,10.96,3.73,0.85,0.23,5787.84,42.21,5.4,0.66,0.32,0.33,0.44,0.55,0.34,0.42,1.12
2013,20,34.38,38.19,42.18,43.83,44.87,45.46,45.51,45.34,45.35,0.47,6.78,20.18,27.19,25.29,13.13,5.01,1.52,0.43,5218.46,43.66,1.01,0.4,0.45,0.41,0.43,0.48,0.42,0.45,0.73
2013,21,31.81,38.48,43.31,44.58,44.97,45.08,45.59,44.46,44.84,0.46,7.79,22.36,28.33,23.11,11.68,4.47,1.44,0.37,5621.75,43.95,1.93,0.47,0.34,0.69,0.74,0.9,0.96,0.79,1.11
2013,22,32.21,35.89,40.39,41.56,42.02,42.11,42.1,41.67,41.82,0.37,6.83,21.37,26.98,22.24,13.91,6.04,1.85,0.39,6015.5,41.1,2.06,0.68,0.5,0.78,0.82,0.53,0.62,0.66,1.13
2013,23,25.95,34.83,39.29,40.71,41.24,41.23,41.13,40.91,41.04,0.95,7.81,19.16,26.81,22.79,14.24,6.08,1.64,0.52,5561.48,40.06,3.9,0.65,0.4,0.46,0.41,0.55,0.76,0.6,1.43
2013,24,30.07,34.89,38.68,39.8,40.44,40.84,40.62,40.22,39.81,0.82,7.22,21.4,25.33,22.16,12.91,6.49,2.42,1.24,5525.15,39.47,0.77,0.76,0.23,0.39,0.39,0.44,0.56,0.21,0.43
2013,25,32.59,36.43,40.77,42.28,42.97,43.4,43.43,42.9,42.46,1.03,8.92,19.14,22.16,19.8,14.33,7.67,4.54,2.41,5126.2,41.79,1.18,0.53,0.6,0.52,0.54,0.37,0.27,0.39,0.56
2013,26,32.53,38.9,44.32,46.13,47.27,48.03,47.84,47.43,46.31,1.33,11.06,20.04,23,18.95,12.94,7.73,3.24,1.7,5767.59,45.43,2.63,0.6,1,0.64,0.67,0.55,0.59,0.6,0.81
